year,week,city,value
2020,13,福岡市消防局,14
2020,14,福岡市消防局,22
2020,15,福岡市消防局,35
2020,16,福岡市消防局,27
2020,17,福岡市消防局,18
2020,18,福岡市消防局,23
2020,19,福岡市消防局,8
2020,20,福岡市消防局,4
2020,21,福岡市消防局,10
2020,22,福岡市消防局,8
2020,23,福岡市消防局,6
2020,24,福岡市消防局,4
2020,25,福岡市消防局,7
2020,26,福岡市消防局,8
2020,27,福岡市消防局,6
2020,28,福岡市消防局,8
2020,29,福岡市消防局,15
2020,30,福岡市消防局,8
2020,31,福岡市消防局,19
2020,32,福岡市消防局,16
2020,33,福岡市消防局,19
2020,34,福岡市消防局,22
2020,35,福岡市消防局,20
2020,36,福岡市消防局,9
2020,37,福岡市消防局,15
2020,38,福岡市消防局,15
2020,39,福岡市消防局,5
2020,40,福岡市消防局,10
2020,41,福岡市消防局,7
2020,42,福岡市消防局,11
2020,43,福岡市消防局,4
2020,44,福岡市消防局,13
2020,45,福岡市消防局,11
2020,46,福岡市消防局,14
2020,47,福岡市消防局,7
2020,48,福岡市消防局,14
2020,49,福岡市消防局,8
2020,50,福岡市消防局,4
2020,51,福岡市消防局,16
2020,52,福岡市消防局,11
2021,1,福岡市消防局,28
2021,2,福岡市消防局,44
2021,3,福岡市消防局,16
2021,4,福岡市消防局,21
2021,5,福岡市消防局,23
2021,6,福岡市消防局,16
2021,7,福岡市消防局,30
2021,8,福岡市消防局,19
2021,9,福岡市消防局,12
2021,10,福岡市消防局,18
2021,11,福岡市消防局,8
2021,12,福岡市消防局,13
2021,13,福岡市消防局,17
2021,14,福岡市消防局,14
2021,15,福岡市消防局,11
2021,16,福岡市消防局,16
2021,17,福岡市消防局,36
2021,18,福岡市消防局,47
2021,19,福岡市消防局,38
2021,20,福岡市消防局,27
2021,21,福岡市消防局,21
2021,22,福岡市消防局,13
2021,23,福岡市消防局,7
2021,24,福岡市消防局,6
2021,25,福岡市消防局,6
2021,26,福岡市消防局,8
2021,27,福岡市消防局,10
2021,28,福岡市消防局,10
2021,29,福岡市消防局,17
2021,30,福岡市消防局,19
2021,31,福岡市消防局,45
2021,32,福岡市消防局,55
2021,33,福岡市消防局,46
2021,34,福岡市消防局,32
2021,35,福岡市消防局,15
2021,36,福岡市消防局,19
2021,37,福岡市消防局,20
2021,38,福岡市消防局,10
2021,39,福岡市消防局,16
2021,40,福岡市消防局,15
2021,41,福岡市消防局,13
2021,42,福岡市消防局,15
2021,43,福岡市消防局,11
2021,44,福岡市消防局,12
2021,45,福岡市消防局,20
2021,46,福岡市消防局,22
2021,47,福岡市消防局,20
2021,48,福岡市消防局,11
2021,49,福岡市消防局,28
2021,50,福岡市消防局,27
2021,51,福岡市消防局,16
2021,52,福岡市消防局,13
2022,1,福岡市消防局,18
2022,2,福岡市消防局,50
2022,3,福岡市消防局,92
2022,4,福岡市消防局,111
2022,5,福岡市消防局,86
2022,6,福岡市消防局,109
2022,7,福岡市消防局,109
2022,8,福岡市消防局,84
2022,9,福岡市消防局,69
2022,10,福岡市消防局,52
2022,11,福岡市消防局,42
2022,12,福岡市消防局,27
2022,13,福岡市消防局,24
2022,14,福岡市消防局,38
2022,15,福岡市消防局,52
2022,16,福岡市消防局,36
2022,17,福岡市消防局,23
2022,18,福岡市消防局,27
2022,19,福岡市消防局,38
2022,20,福岡市消防局,36
2022,21,福岡市消防局,35
2022,22,福岡市消防局,23
2022,23,福岡市消防局,27
2022,24,福岡市消防局,19
2022,25,福岡市消防局,26
2022,26,福岡市消防局,20
2022,27,福岡市消防局,49
2022,28,福岡市消防局,89
2022,29,福岡市消防局,145
2022,30,福岡市消防局,217
2022,31,福岡市消防局,174
2022,32,福岡市消防局,171
2022,33,福岡市消防局,168
2022,34,福岡市消防局,132
2022,35,福岡市消防局,89
2022,36,福岡市消防局,62
2022,37,福岡市消防局,44
2022,38,福岡市消防局,42
2022,39,福岡市消防局,23
2022,40,福岡市消防局,23
2022,41,福岡市消防局,35
2022,42,福岡市消防局,37
2022,43,福岡市消防局,19
2022,44,福岡市消防局,46
2022,45,福岡市消防局,46
2022,46,福岡市消防局,71
2022,47,福岡市消防局,48
2022,48,福岡市消防局,67
2022,49,福岡市消防局,93
2022,50,福岡市消防局,143
2022,51,福岡市消防局,184
2022,52,福岡市消防局,242
2023,1,福岡市消防局,278
2023,2,福岡市消防局,271
2023,3,福岡市消防局,159
2023,4,福岡市消防局,115
2023,5,福岡市消防局,61
2023,6,福岡市消防局,104
2023,7,福岡市消防局,103
2023,8,福岡市消防局,46
2023,9,福岡市消防局,42
2023,10,福岡市消防局,44
2023,11,福岡市消防局,40
2023,12,福岡市消防局,39
2023,13,福岡市消防局,40
2023,14,福岡市消防局,24
2023,15,福岡市消防局,31
2023,16,福岡市消防局,38
2023,17,福岡市消防局,28
2023,18,福岡市消防局,40
2023,19,福岡市消防局,42
2023,20,福岡市消防局,17
2023,21,福岡市消防局,40
2023,22,福岡市消防局,26
2023,23,福岡市消防局,29
2023,24,福岡市消防局,40
2023,25,福岡市消防局,36
2023,26,福岡市消防局,31
2023,27,福岡市消防局,43
2023,28,福岡市消防局,76
2023,29,福岡市消防局,113
2023,30,福岡市消防局,139
2020,13,北九州市消防局,1
2020,14,北九州市消防局,3
2020,15,北九州市消防局,6
2020,16,北九州市消防局,2
2020,17,北九州市消防局,5
2020,18,北九州市消防局,2
2020,19,北九州市消防局,0
2020,20,北九州市消防局,0
2020,21,北九州市消防局,2
2020,22,北九州市消防局,9
2020,23,北九州市消防局,2
2020,24,北九州市消防局,2
2020,25,北九州市消防局,2
2020,26,北九州市消防局,2
2020,27,北九州市消防局,0
2020,28,北九州市消防局,3
2020,29,北九州市消防局,0
2020,30,北九州市消防局,5
2020,31,北九州市消防局,9
2020,32,北九州市消防局,9
2020,33,北九州市消防局,5
2020,34,北九州市消防局,3
2020,35,北九州市消防局,6
2020,36,北九州市消防局,1
2020,37,北九州市消防局,1
2020,38,北九州市消防局,6
2020,39,北九州市消防局,4
2020,40,北九州市消防局,1
2020,41,北九州市消防局,2
2020,42,北九州市消防局,1
2020,43,北九州市消防局,1
2020,44,北九州市消防局,3
2020,45,北九州市消防局,1
2020,46,北九州市消防局,2
2020,47,北九州市消防局,1
2020,48,北九州市消防局,4
2020,49,北九州市消防局,4
2020,50,北九州市消防局,5
2020,51,北九州市消防局,2
2020,52,北九州市消防局,5
2021,1,北九州市消防局,5
2021,2,北九州市消防局,12
2021,3,北九州市消防局,8
2021,4,北九州市消防局,8
2021,5,北九州市消防局,4
2021,6,北九州市消防局,5
2021,7,北九州市消防局,20
2021,8,北九州市消防局,6
2021,9,北九州市消防局,2
2021,10,北九州市消防局,5
2021,11,北九州市消防局,2
2021,12,北九州市消防局,3
2021,13,北九州市消防局,2
2021,14,北九州市消防局,2
2021,15,北九州市消防局,3
2021,16,北九州市消防局,3
2021,17,北九州市消防局,3
2021,18,北九州市消防局,6
2021,19,北九州市消防局,9
2021,20,北九州市消防局,11
2021,21,北九州市消防局,4
2021,22,北九州市消防局,4
2021,23,北九州市消防局,4
2021,24,北九州市消防局,1
2021,25,北九州市消防局,2
2021,26,北九州市消防局,2
2021,27,北九州市消防局,3
2021,28,北九州市消防局,3
2021,29,北九州市消防局,7
2021,30,北九州市消防局,7
2021,31,北九州市消防局,9
2021,32,北九州市消防局,11
2021,33,北九州市消防局,5
2021,34,北九州市消防局,7
2021,35,北九州市消防局,5
