"year","week","name","value","region"
2022,41,"reports",681,"福岡県"
2022,41,"per_sentinel",3.44,"福岡県"
2022,42,"reports",559,"福岡県"
2022,42,"per_sentinel",2.82,"福岡県"
2022,43,"reports",663,"福岡県"
2022,43,"per_sentinel",3.35,"福岡県"
2022,44,"reports",625,"福岡県"
2022,44,"per_sentinel",3.16,"福岡県"
2022,45,"reports",827,"福岡県"
2022,45,"per_sentinel",4.18,"福岡県"
2022,46,"reports",1107,"福岡県"
2022,46,"per_sentinel",5.59,"福岡県"
2022,47,"reports",1309,"福岡県"
2022,47,"per_sentinel",6.61,"福岡県"
2022,48,"reports",1796,"福岡県"
2022,48,"per_sentinel",9.07,"福岡県"
2022,49,"reports",2079,"福岡県"
2022,49,"per_sentinel",10.5,"福岡県"
2022,50,"reports",3521,"福岡県"
2022,50,"per_sentinel",17.78,"福岡県"
2022,51,"reports",5270,"福岡県"
2022,51,"per_sentinel",26.62,"福岡県"
2022,52,"reports",7365,"福岡県"
2022,52,"per_sentinel",37.2,"福岡県"
2022,53,"reports",7880,"福岡県"
2022,53,"per_sentinel",39.8,"福岡県"
2023,1,"reports",8102,"福岡県"
2023,1,"per_sentinel",40.92,"福岡県"
2023,2,"reports",5586,"福岡県"
2023,2,"per_sentinel",28.21,"福岡県"
2023,3,"reports",4212,"福岡県"
2023,3,"per_sentinel",21.27,"福岡県"
2023,4,"reports",2818,"福岡県"
2023,4,"per_sentinel",14.23,"福岡県"
2023,5,"reports",1936,"福岡県"
2023,5,"per_sentinel",9.78,"福岡県"
2023,6,"reports",1184,"福岡県"
2023,6,"per_sentinel",5.98,"福岡県"
2023,7,"reports",919,"福岡県"
2023,7,"per_sentinel",4.64,"福岡県"
2023,8,"reports",552,"福岡県"
2023,8,"per_sentinel",2.79,"福岡県"
2023,9,"reports",409,"福岡県"
2023,9,"per_sentinel",2.07,"福岡県"
2023,10,"reports",313,"福岡県"
2023,10,"per_sentinel",1.58,"福岡県"
2023,11,"reports",226,"福岡県"
2023,11,"per_sentinel",1.14,"福岡県"
2023,12,"reports",213,"福岡県"
2023,12,"per_sentinel",1.08,"福岡県"
2023,13,"reports",183,"福岡県"
2023,13,"per_sentinel",0.92,"福岡県"
2023,14,"reports",205,"福岡県"
2023,14,"per_sentinel",1.04,"福岡県"
2023,15,"reports",186,"福岡県"
2023,15,"per_sentinel",0.94,"福岡県"
2023,16,"reports",263,"福岡県"
2023,16,"per_sentinel",1.33,"福岡県"
2023,17,"reports",202,"福岡県"
2023,17,"per_sentinel",1.02,"福岡県"
2023,18,"reports",397,"福岡県"
2023,18,"per_sentinel",2.01,"福岡県"
2023,19,"reports",475,"福岡県"
2023,19,"per_sentinel",2.4,"福岡県"
2023,20,"reports",612,"福岡県"
2023,20,"per_sentinel",3.09,"福岡県"
2023,21,"reports",610,"福岡県"
2023,21,"per_sentinel",3.08,"福岡県"
2023,22,"reports",841,"福岡県"
2023,22,"per_sentinel",4.25,"福岡県"
2023,23,"reports",1140,"福岡県"
2023,23,"per_sentinel",5.76,"福岡県"
2023,19,"reports",22,"福岡市中央区"
2023,19,"per_sentinel",3.67,"福岡市中央区"
2023,20,"reports",17,"福岡市中央区"
2023,20,"per_sentinel",2.83,"福岡市中央区"
2023,21,"reports",14,"福岡市中央区"
2023,21,"per_sentinel",2.33,"福岡市中央区"
2023,22,"reports",17,"福岡市中央区"
2023,22,"per_sentinel",2.83,"福岡市中央区"
2023,23,"reports",45,"福岡市中央区"
2023,23,"per_sentinel",7.5,"福岡市中央区"
2023,19,"reports",22,"福岡市博多区"
2023,19,"per_sentinel",3.14,"福岡市博多区"
2023,20,"reports",36,"福岡市博多区"
2023,20,"per_sentinel",5.14,"福岡市博多区"
2023,21,"reports",20,"福岡市博多区"
2023,21,"per_sentinel",2.86,"福岡市博多区"
2023,22,"reports",38,"福岡市博多区"
2023,22,"per_sentinel",5.43,"福岡市博多区"
2023,23,"reports",20,"福岡市博多区"
2023,23,"per_sentinel",2.86,"福岡市博多区"
2023,19,"reports",21,"福岡市南区"
2023,19,"per_sentinel",2.33,"福岡市南区"
