year,week,reports,per_sentinel
2022,41,681,3.44
2022,42,559,2.82
2022,43,663,3.35
2022,44,625,3.16
2022,45,827,4.18
2022,46,1107,5.59
2022,47,1309,6.61
2022,48,1796,9.07
2022,49,2079,10.5
2022,50,3521,17.78
2022,51,5270,26.62
2022,52,7365,37.2
2022,53,7880,39.8
2023,1,8102,40.92
2023,2,5586,28.21
2023,3,4212,21.27
2023,4,2818,14.23
2023,5,1936,9.78
2023,6,1184,5.98
2023,7,919,4.64
2023,8,552,2.79
2023,9,409,2.07
2023,10,313,1.58
2023,11,226,1.14
2023,12,213,1.08
2023,13,183,0.92
2023,14,205,1.04
2023,15,186,0.94
2023,16,263,1.33
2023,17,202,1.02
2023,18,397,2.01
